PS C:\Users\isikm> & C:/ProgramData/Anaconda3/python.exe "g:/Drive'ım/Okul/2024C-GÜZ/KON492 Bitirme Tasarım Projesi/pendulum_yeni.py"
2024-09-24 14:12:03.695201: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:05.510030: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:11.790020: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
episode: 199/1000, score: 4.231638607120915, epsilon: 0.33192164779251276, done: False
episode: 200/1000, score: 9.633261069959865, epsilon: 0.3302620395535502, done: False
%%% Parametre güncellemesi yapıldı. Learning rate: 0.0025, Epsilon: 0.29574965642020423 %%%
episode: 201/1000, score: -14.825331157586312, epsilon: 0.29574965642020423, done: False
episode: 202/1000, score: 10.353942156200974, epsilon: 0.2942709081381032, done: False
episode: 203/1000, score: 8.425734729811767, epsilon: 0.29279955359741267, done: False
episode: 204/1000, score: 22.36823687854642, epsilon: 0.2913355558294256, done: False
episode: 205/1000, score: -19.009953413214905, epsilon: 0.28987887805027845, done: False
episode: 206/1000, score: 19.882080777255467, epsilon: 0.2884294836600271, done: False
episode: 207/1000, score: -0.7325592577655504, epsilon: 0.28698733624172695, done: False
episode: 208/1000, score: 4.474977794145254, epsilon: 0.2855523995605183, done: False
episode: 209/1000, score: 3.081051438175675, epsilon: 0.2841246375627157, done: False
episode: 210/1000, score: -13.507997737617899, epsilon: 0.28270401437490217, done: False
episode: 211/1000, score: 7.349889211898033, epsilon: 0.28129049430302766, done: False
episode: 212/1000, score: 9.267211713386224, epsilon: 0.2798840418315125, done: False
episode: 213/1000, score: -5.851199844509225, epsilon: 0.27848462162235493, done: False
episode: 214/1000, score: 16.092547197777385, epsilon: 0.27709219851424316, done: False
episode: 215/1000, score: 0.9645480533123231, epsilon: 0.27570673752167196, done: False
episode: 216/1000, score: 7.2398837803912315, epsilon: 0.2743282038340636, done: False
episode: 217/1000, score: -4.289239548777104, epsilon: 0.2729565628148933, done: False
episode: 218/1000, score: -1.209289995254635, epsilon: 0.2715917800008188, done: False
episode: 219/1000, score: -11.443793559799841, epsilon: 0.2702338211008147, done: False
episode: 220/1000, score: 17.14019865275842, epsilon: 0.2688826519953106, done: False
episode: 221/1000, score: -3.4761577070898984, epsilon: 0.26753823873533406, done: False
episode: 222/1000, score: 1.0668123788084847, epsilon: 0.2662005475416574, done: False
episode: 223/1000, score: 9.087044730152305, epsilon: 0.2648695448039491, done: False
episode: 224/1000, score: -0.40224408869198147, epsilon: 0.26354519707992935, done: False
episode: 225/1000, score: 8.096905332871456, epsilon: 0.2622274710945297, done: False
episode: 226/1000, score: 6.171795407637839, epsilon: 0.26091633373905704, done: False
episode: 227/1000, score: 6.253464675232957, epsilon: 0.25961175207036175, done: False
episode: 228/1000, score: -0.6710533236237809, epsilon: 0.2583136933100099, done: False
episode: 229/1000, score: 15.837882014116763, epsilon: 0.2570221248434599, done: False
episode: 230/1000, score: -24.657180499488884, epsilon: 0.25573701421924255, done: False
episode: 231/1000, score: -2.21750685023857, epsilon: 0.2544583291481463, done: False
episode: 232/1000, score: 4.08288376278588, epsilon: 0.2531860375024056, done: False
episode: 233/1000, score: -0.8067518758511862, epsilon: 0.25192010731489356, done: False
episode: 234/1000, score: -9.28892991517872, epsilon: 0.2506605067783191, done: False
episode: 235/1000, score: 11.43273565769957, epsilon: 0.24940720424442747, done: False
episode: 236/1000, score: 10.30817490552884, epsilon: 0.24816016822320533, done: False
episode: 237/1000, score: 0.053948926278133844, epsilon: 0.2469193673820893, done: False
episode: 238/1000, score: 15.25455314415559, epsilon: 0.24568477054517887, done: False
episode: 239/1000, score: -8.777527167726149, epsilon: 0.24445634669245297, done: False
episode: 240/1000, score: -12.107550658847465, epsilon: 0.24323406495899072, done: False
episode: 241/1000, score: -9.435816066523522, epsilon: 0.24201789463419576, done: False
episode: 242/1000, score: 9.163508015753086, epsilon: 0.2408078051610248, done: False
episode: 243/1000, score: -6.783990572170873, epsilon: 0.23960376613521966, done: False
episode: 244/1000, score: -4.879904978868658, epsilon: 0.23840574730454356, done: False
episode: 245/1000, score: -9.18468664963184, epsilon: 0.23721371856802084, done: False
episode: 246/1000, score: 14.63548238676753, epsilon: 0.23602764997518075, done: False
episode: 247/1000, score: -16.268946175752777, epsilon: 0.23484751172530485, done: False
episode: 248/1000, score: -1.6478731230909467, epsilon: 0.23367327416667832, done: False
episode: 249/1000, score: 6.414320693717959, epsilon: 0.23250490779584493, done: False
episode: 250/1000, score: 16.580704745190218, epsilon: 0.2313423832568657, done: False
episode: 251/1000, score: -23.261949644849203, epsilon: 0.23018567134058138, done: False
episode: 252/1000, score: 0.5743936910785742, epsilon: 0.22903474298387846, done: False
episode: 253/1000, score: -15.592098933695096, epsilon: 0.22788956926895906, done: False
episode: 254/1000, score: 11.659315315970765, epsilon: 0.22675012142261428, done: False
episode: 255/1000, score: -13.201170867368878, epsilon: 0.2256163708155012, done: False
episode: 256/1000, score: 0.11083777662778704, epsilon: 0.2244882889614237, done: False
episode: 257/1000, score: -22.66854845537473, epsilon: 0.2233658475166166, done: False
episode: 258/1000, score: -3.152878663038315, epsilon: 0.2222490182790335, done: False
episode: 259/1000, score: 3.1154467590440182, epsilon: 0.22113777318763833, done: False
episode: 260/1000, score: 12.798786832422879, epsilon: 0.22003208432170013, done: False
episode: 261/1000, score: -7.647088422159997, epsilon: 0.2189319239000916, done: False
episode: 262/1000, score: 5.72358307915862, epsilon: 0.21783726428059116, done: False
episode: 263/1000, score: 20.403570034192708, epsilon: 0.2167480779591882, done: False
episode: 264/1000, score: -13.16008037066941, epsilon: 0.21566433756939227, done: False
episode: 265/1000, score: -9.10243507787718, epsilon: 0.2145860158815453, done: False
episode: 266/1000, score: -4.487670576049914, epsilon: 0.21351308580213757, done: False
episode: 267/1000, score: 9.481044523432914, epsilon: 0.2124455203731269, done: False
episode: 268/1000, score: 6.140955841465133, epsilon: 0.21138329277126125, done: True
episode: 269/1000, score: -3.9250218646125363, epsilon: 0.21032637630740494, done: False
episode: 270/1000, score: -2.29396792654637, epsilon: 0.2092747444258679, done: False
episode: 271/1000, score: 3.7766052140839355, epsilon: 0.20822837070373856, done: False
episode: 272/1000, score: -11.271107527571731, epsilon: 0.20718722885021987, done: False
episode: 273/1000, score: -16.344260280786692, epsilon: 0.20615129270596877, done: False
episode: 274/1000, score: -9.653988654769616, epsilon: 0.20512053624243892, done: False
episode: 275/1000, score: 11.824320063476984, epsilon: 0.20409493356122674, done: False
episode: 276/1000, score: 3.413722337806452, epsilon: 0.2030744588934206, done: False
episode: 277/1000, score: -8.688775421633109, epsilon: 0.2020590865989535, done: False
episode: 278/1000, score: 8.900334218612135, epsilon: 0.20104879116595872, done: False
episode: 279/1000, score: 2.2746352586663603, epsilon: 0.20004354721012893, done: False
episode: 280/1000, score: 19.064105518106235, epsilon: 0.1990433294740783, done: False
episode: 281/1000, score: 7.92808843064344, epsilon: 0.1980481128267079, done: False
episode: 282/1000, score: 9.130899341909364, epsilon: 0.19705787226257435, done: False
episode: 283/1000, score: -2.957724824232472, epsilon: 0.19607258290126148, done: False
episode: 284/1000, score: 4.125238799800121, epsilon: 0.19509221998675516, done: False
episode: 285/1000, score: -0.4463681642537221, epsilon: 0.1941167588868214, done: False
episode: 286/1000, score: -13.008466454427086, epsilon: 0.1931461750923873, done: False
episode: 287/1000, score: -13.912642826834364, epsilon: 0.19218044421692534, done: False
episode: 288/1000, score: 0.41398848158252266, epsilon: 0.1912195419958407, done: False
episode: 289/1000, score: -17.820359190902867, epsilon: 0.1902634442858615, done: False
episode: 290/1000, score: -4.858794543924391, epsilon: 0.1893121270644322, done: False
episode: 291/1000, score: -6.137247772030972, epsilon: 0.18836556642911004, done: False
episode: 292/1000, score: -28.73890072855075, epsilon: 0.18742373859696448, done: False
episode: 293/1000, score: 2.3584818672537455, epsilon: 0.18648661990397966, done: False
episode: 294/1000, score: 0.20164129538419706, epsilon: 0.18555418680445976, done: False
episode: 295/1000, score: 4.7876066199975895, epsilon: 0.18462641587043746, done: False
episode: 296/1000, score: 4.883031124273666, epsilon: 0.18370328379108528, done: False
episode: 297/1000, score: 8.49499984241743, epsilon: 0.18278476737212984, done: False
episode: 298/1000, score: -13.377248295296745, epsilon: 0.1818708435352692, done: False
