t,x,x_dot,theta,theta_dot,r,F
3.63,-2.7856021642071154,-0.1121715322966195,-0.032477465455101016,0.03685843382509421,2.7,4.068538102433845
3.64,-2.786708361034403,-0.10907399603838366,-0.0321097194383992,0.036690378632714835,2.7,4.069435431016431
3.65,-2.787783767067554,-0.10601334161545706,-0.03174366559447372,0.0365200098073534,2.7,4.070332127716158
3.66,-2.788828750166051,-0.10298937693048785,-0.03137932674477092,0.036347390201599675,2.7,4.071228077451551
3.67,-2.7898436762588084,-0.1000019079773955,-0.0310167250859281,0.03617258192530172,2.7,4.0721231671840705
3.68,-2.7908289093253855,-0.09705073890072555,-0.03065588219718205,0.03599564634934861,2.7,4.0730172858995655
3.69,-2.791784811377783,-0.09413567205426404,-0.030296819047739548,0.035816644109493895,2.7,4.073910324589754
3.7,-2.7927117424428274,-0.09125650805891558,-0.029939556004109424,0.035635635110218916,2.7,4.074802176233728
3.71,-2.793610060545129,-0.08841304585984933,-0.029584112837395822,0.03545267852863443,2.7,4.075692735779502
3.72,-2.7944801216906057,-0.08560508278291748,-0.029230508730552236,0.03526783281841932,2.7,4.076581900125584
3.73,-2.79532227985057,-0.08283241459035032,-0.028878762285595976,0.035081155713795276,2.7,4.077469568102588
3.74,-2.7961368869463676,-0.08009483553573224,-0.028528891530782738,0.03489270423353616,2.7,4.078355640454884
3.75,-2.7969242928345643,-0.07739213841826342,-0.028180913927740883,0.034702534685011,2.7,4.079240019822294
3.7600000000000002,-2.797684845292668,-0.07472411463631123,-0.02783484637856514,0.03451070266825916,2.7,4.080122610721817
3.77,-2.798418890005388,-0.07209055424025597,-0.027490705232869395,0.03431726308009682,2.7,4.081003319529412
3.7800000000000002,-2.7991267705514136,-0.06949124598463556,-0.02714850629479826,0.034122270118253625,2.7,4.081882054461817
3.79,-2.7998088283907157,-0.06692597737959333,-0.02680826482999715,0.03392577728553807,2.7,4.082758725558421
3.8000000000000003,-2.8004654028523563,-0.06439453474163395,-0.02646999557254053,0.03372783739403083,2.7,4.083633244663183
3.81,-2.8010968311228037,-0.06189670324369145,-0.026133712731818127,0.03352850256930487,2.7,4.084505525406604
3.8200000000000003,-2.8017034482347425,-0.05943226696451438,-0.025799429999378797,0.03332782425467118,2.7,4.085375483187749
3.83,-2.8022855870563785,-0.05700100893737241,-0.02546716055573181,0.03312585321544928,2.7,4.086243035156327
3.84,-2.802843578281222,-0.054602711198089154,-0.025136917077105327,0.03292263954326105,2.7,4.087108100194826
3.85,-2.8033777504183526,-0.05223715483240564,-0.024808711742161788,0.03271823266034743,2.7,4.087970598900701
3.86,-2.803888429783152,-0.04990412002267919,-0.024482556238670065,0.03251268132390646,2.7,4.088830453568627
3.87,-2.8043759404885,-0.04760338609392242,-0.02415846177013412,0.03230603363045198,2.7,4.089687588172813
3.88,-2.804840604436429,-0.04533473155918687,-0.023836439062377947,0.03209833702019191,2.7,4.090541928349376
3.89,-2.80528274131023,-0.043097934164295915,-0.023516498370086694,0.03188963828142516,2.7,4.091393401378776
3.9,-2.805702668566999,-0.04089277093193196,-0.023198649483303666,0.03167998355495619,2.7,4.092241936168318
3.91,-2.8061007014306245,-0.03871901820508211,-0.02288290173388315,0.031469418338526345,2.7,4.093087463234728
3.92,-2.8064771528852055,-0.03657645168984765,-0.0225692640018988,0.03125798749126098,2.7,4.093929914686781
3.93,-2.806832333668893,-0.034464846497621326,-0.022257744722007516,0.031045735238131533,2.7,4.094769224208012
3.94,-2.807166552268152,-0.032383977186637936,-0.021948351889768607,0.030832705174431596,2.7,4.095605327039491
3.95,-2.8074801149124355,-0.030333617802902255,-0.02164109306791814,0.030618940270266126,2.7,4.096438159962675
3.96,-2.8077733255692623,-0.028313541920499594,-0.021335975392598315,0.030404482875053,2.7,4.097267661282318
3.97,-2.8080464859396996,-0.026323522681293333,-0.0210330055795418,0.030189374722035936,2.7,4.098093770809478
3.98,-2.808299895454234,-0.024363332834014557,-0.020732189930210844,0.029973656932808,2.7,4.098916429844577
3.99,-2.8085338512690354,-0.02243274477274815,-0.02043353433789114,0.029757370021844975,2.7,4.099735581160552
4.0,-2.8087486482625983,-0.02053153057482052,-0.020137044293740282,0.029540553901047595,2.7,4.100551168986077
4.01,-2.808944579032763,-0.018659462038093492,-0.019842724892790778,0.02932324788429197,2.7,4.101363138988862
4.0200000000000005,-2.8091219338941045,-0.016816310717669026,-0.01955058083990751,0.029105490691987423,2.7,4.10217143825904
4.03,-2.8092810008756848,-0.01500184796200996,-0.019260616455699583,0.02888732045564088,2.7,4.10297601529262
4.04,-2.809422065719167,-0.013215844948481093,-0.018972835682386505,0.0286687747224271,2.7,4.103776819975035
4.05,-2.8095454118772776,-0.011458072718315688,-0.018687242089618635,0.02844989045976408,2.7,4.104573803564767
4.0600000000000005,-2.8096513205126175,-0.009728302211011976,-0.018403838880251856,0.028230704059892725,2.7,4.10536691867705
4.07,-2.809740070496817,-0.008026304298164626,-0.01812262889607643,0.02801125134446021,2.7,4.10615611926767
4.08,-2.8098119384100197,-0.006351849816735835,-0.017843614623500013,0.027791567569106237,2.7,4.106941360616835
4.09,-2.8098671985407035,-0.00470470960177077,-0.017566798199184774,0.02757168742805159,2.7,4.107722599313142
4.1,-2.809906122885821,-0.0030846545185623207,-0.017292181415638656,0.027351645058688187,2.7,4.108499793237624
4.11,-2.8099289811512613,-0.0014914554942697146,-0.017019765726760686,0.027131474046169904,2.7,4.1092729015478895
4.12,-2.8099360407526235,7.51164510040779e-05,-0.016749552253340416,0.026911207428003736,2.7,4.110041884662345
4.13,-2.8099275668162997,0.0016152901736714888,-0.01648154178851144,0.026690877698640522,2.7,4.110806704244512
4.14,-2.809903822180862,0.003129294376651267,-0.016215734803158997,0.026470516814064496,2.7,4.111567323187424
4.15,-2.8098650673987424,0.004617357579886332,-0.015952131451281697,0.026250156196381047,2.7,4.112323705598131
4.16,-2.8098115607382104,0.0060797080913839695,-0.015690731575307395,0.02602982673840229,2.7,4.113075816782271
4.17,-2.809743558185632,0.00751657397877353,-0.015431534711363173,0.025809558808229646,2.7,4.113823623228761
4.18,-2.8096613134480175,0.008928183041376919,-0.015174540094499596,0.02558938225383288,2.7,4.11456709259455
4.19,-2.8095650779558388,0.010314762782787156,-0.014919746663869108,0.025369326407624918,2.7,4.1153061936894915
4.2,-2.8094551008661237,0.011676540383950312,-0.014667153067858776,0.025149420091032076,2.7,4.116040896461293
4.21,-2.809331629065813,0.013013742676746088,-0.014416757669177308,0.024929691619058905,2.7,4.116771171980563
4.22,-2.8091949071753826,0.014326596118062421,-0.014168558549896473,0.02471016880484736,2.7,4.117496992425959
4.23,-2.809045177552721,0.015615326764359266,-0.013922553516446966,0.024490878964229412,2.7,4.1182183310694205
4.24,-2.8088826802972586,0.016880160246717037,-0.013678740104568767,0.024271848920272968,2.7,4.1189351622615025
4.25,-2.8087076532543436,0.018121321746365007,-0.013437115584216086,0.024053105007820152,2.7,4.119647461416804
4.26,-2.8085203320198606,0.019339035970684936,-0.013197676964416958,0.023834673078017718,2.7,4.120355204999494
4.2700000000000005,-2.80832094994509,0.020533527129685404,-0.012960420998087582,0.0236165785028392,2.7,4.121058370508932
4.28,-2.808109738141793,0.02170501891294209,-0.01272534418680148,0.023398846179597754,2.7,4.121756936465386
4.29,-2.8078869254875327,0.022853734466999513,-0.012492442785513575,0.023181500535449887,2.7,4.122450882395851
4.3,-2.807652738631214,0.02397989637322953,-0.012261712807239283,0.02296456553188922,2.7,4.123140188819958
4.3100000000000005,-2.807407401998845,0.02508372662614207,-0.012033150027688712,0.02274806466922974,2.7,4.12382483723599
