x,x_dot,theta,theta_dot
3.403131859485236110e-01,1.722721469209924361e-02,4.755941601562613030e+00,-6.159477718553223902e+00
3.169171080159858822e-01,-5.816788406352783047e-01,3.962407303908307199e+00,-9.914617423231632642e+00
2.269413806749415730e-01,-9.381537477274052295e-01,2.813626429657119399e+00,-1.168997107888481679e+01
1.736011389736786814e-01,-1.604356817152415016e-01,1.846734587043726616e+00,-7.643285057982925679e+00
1.765489622014035642e-01,1.362979977850612701e-01,1.250069722043275267e+00,-4.391331078915746922e+00
1.893372680919499784e-01,8.575049788448589616e-02,9.600925131176518690e-01,-1.422958653093613135e+00
1.907106355652925522e-01,-5.753479485583565256e-02,9.637734244286704222e-01,1.496052165756368568e+00
1.811053300488729700e-01,-9.964643069402048803e-02,1.260896975334820480e+00,4.461843813689903016e+00
1.824330025089771490e-01,2.089404977131058827e-01,1.865102635004251441e+00,7.727967485899683631e+00
2.403401421809875926e-01,9.665075969989664895e-01,2.839736557432408937e+00,1.170575270298166615e+01
3.294087589061004406e-01,5.552162381021226167e-01,3.974629265352795926e+00,9.702992177321030809e+00
3.509978797275324913e-01,-2.558126683884455466e-02,4.748182883644367358e+00,5.964504970874875411e+00
3.408225621432352526e-01,-1.196951735903056396e-01,5.189284986798623933e+00,2.893971889863724556e+00
3.340239779049009594e-01,-1.397045728562664162e-03,5.330151737838375148e+00,-6.977040838693848723e-02
3.403242229223528703e-01,1.103123585494785314e-01,5.175389770881312579e+00,-3.031982832297757113e+00
3.486970273784991692e-01,-2.829165083704447692e-03,4.720268750386871659e+00,-6.111837542750865104e+00
3.231853465186681484e-01,-6.008317264726786844e-01,3.929895626164963574e+00,-9.887325914290411077e+00
2.333586908402331128e-01,-9.140749193387508464e-01,2.792618010070071932e+00,-1.146642317699077296e+01
1.816199439902163870e-01,-1.573121469747347234e-01,1.847118463093430085e+00,-7.450368701037030306e+00
1.839280437930416179e-01,1.229642923103721475e-01,1.269859094392303600e+00,-4.187147269814680328e+00
1.951246867862379275e-01,6.909398896754932740e-02,1.002398388969992116e+00,-1.172821407750552547e+00
1.951740834587587514e-01,-6.434438422150325076e-02,1.034241162208640707e+00,1.810306020046708930e+00
1.864803103447930932e-01,-6.818230646555720198e-02,1.365925031216898233e+00,4.839995097733690521e+00
1.945707334375569031e-01,3.181137009648246083e-01,2.013779266188415740e+00,8.248524529579496445e+00
2.643353008347957833e-01,1.016387214786756976e+00,3.039050660150613314e+00,1.186071685043905610e+01
3.439504097188875731e-01,4.203775808938094993e-01,4.117291655768883452e+00,8.879337038889739020e+00
3.574205979035272596e-01,-5.651110113929840029e-02,4.818701574777223939e+00,5.311244667955788756e+00
3.473619429902751188e-01,-9.574909414376020500e-02,5.195004125396864403e+00,2.236880590365975419e+00
3.436286048853748332e-01,2.885872745650006760e-02,5.267892979340049742e+00,-7.763131256640408706e-01
3.513077168602435352e-01,9.734357007256469463e-02,5.039307364615437379e+00,-3.802848174632492473e+00
3.531784092489259064e-01,-1.335042111222663752e-01,4.501684206801525256e+00,-7.023280908773899434e+00
3.071469344552834047e-01,-8.441364740067195394e-01,3.604881778679178694e+00,-1.099539347490925678e+01
2.161847258703847585e-01,-6.704881439556453770e-01,2.471571930016140506e+00,-1.015815109069780853e+01
1.855203730156520792e-01,-3.069173400501373078e-02,1.658276216796154001e+00,-6.282186535461875110e+00
1.929224916845277416e-01,1.147195805241363609e-01,1.190291902732172558e+00,-3.123243615605084234e+00
2.004701158608039324e-01,1.770567561621133254e-02,1.030390921944610572e+00,-7.908606356251048075e-02
1.963435171552841141e-01,-8.320325564217777303e-02,1.174331444306591088e+00,2.961105122741479967e+00
1.913542065295842920e-01,4.412934048746437743e-02,1.625509174670745738e+00,6.103481591041003185e+00
2.215888217821258277e-01,6.479530906657385847e-01,2.417841183676825878e+00,9.913931025019152798e+00
3.120414992409283883e-01,8.736683714949352586e-01,3.539167649197549448e+00,1.107683701856201353e+01
3.609434546087165741e-01,1.513667531559092783e-01,4.446375972709025959e+00,7.103908884076644448e+00
